tree_tip,matched_MDD_name,match_type,order,family,genus,iucn_category,extinct_flag
Microgale_talazaci,Nesogale_talazaci,synonym:MSW3,Afrosoricida,Tenrecidae,Nesogale,LC,0.0
Microgale_soricoides,Microgale_soricoides,direct,Afrosoricida,Tenrecidae,Microgale,LC,0.0
Microgale_parvula,Microgale_parvula,direct,Afrosoricida,Tenrecidae,Microgale,LC,0.0
Microgale_drouhardi,Microgale_drouhardi,direct,Afrosoricida,Tenrecidae,Microgale,LC,0.0
Oryzorictes_tetradactylus,Oryzorictes_tetradactylus,direct,Afrosoricida,Tenrecidae,Oryzorictes,DD,0.0
Oryzorictes_hova,Oryzorictes_hova,direct,Afrosoricida,Tenrecidae,Oryzorictes,LC,0.0
Geogale_aurita,Geogale_aurita,direct,Afrosoricida,Tenrecidae,Geogale,LC,0.0
Tenrec_ecaudatus,Tenrec_ecaudatus,direct,Afrosoricida,Tenrecidae,Tenrec,LC,0.0
Hemicentetes_semispinosus,Hemicentetes_semispinosus,direct,Afrosoricida,Tenrecidae,Hemicentetes,LC,0.0
Hemicentetes_nigriceps,Hemicentetes_nigriceps,direct,Afrosoricida,Tenrecidae,Hemicentetes,LC,0.0
Setifer_setosus,Setifer_setosus,direct,Afrosoricida,Tenrecidae,Setifer,LC,0.0
Echinops_telfairi,Echinops_telfairi,direct,Afrosoricida,Tenrecidae,Echinops,LC,0.0
Huetia_leucorhina,Huetia_leucorhina,direct,Afrosoricida,Chrysochloridae,Huetia,DD,0.0
Calcochloris_tytonis,Huetia_tytonis,synonym:MSW3,Afrosoricida,Chrysochloridae,Huetia,DD,0.0
Calcochloris_obtusirostris,Calcochloris_obtusirostris,direct,Afrosoricida,Chrysochloridae,Calcochloris,LC,0.0
Chrysospalax_villosus,Chrysospalax_villosus,direct,Afrosoricida,Chrysochloridae,Chrysospalax,VU,0.0
Chrysospalax_trevelyani,Chrysospalax_trevelyani,direct,Afrosoricida,Chrysochloridae,Chrysospalax,EN,0.0
Amblysomus_marleyi,Amblysomus_marleyi,direct,Afrosoricida,Chrysochloridae,Amblysomus,EN,0.0
Amblysomus_corriae,Amblysomus_corriae,direct,Afrosoricida,Chrysochloridae,Amblysomus,NT,0.0
Amblysomus_robustus,Amblysomus_robustus,direct,Afrosoricida,Chrysochloridae,Amblysomus,VU,0.0
Carpitalpa_arendsi,Carpitalpa_arendsi,direct,Afrosoricida,Chrysochloridae,Carpitalpa,VU,0.0
Neamblysomus_julianae,Neamblysomus_julianae,direct,Afrosoricida,Chrysochloridae,Neamblysomus,EN,0.0
