tree,PD,ePDloss
156,140242.939465079,15031.3563808393
157,138825.479108619,15232.7257646424
158,141676.915032589,15042.3044445532
159,140125.154571059,14769.6920668977
160,137562.693727398,15017.5242842773
161,140874.653620815,15010.647380205
162,139204.890134297,15224.2030304645
163,140090.703374599,15176.3798428092
164,127888.223732274,13610.9684701334
165,125740.981530101,13900.8045998841
166,124800.745239067,13144.8946489084
167,127195.44662614,13903.5102333831
168,125577.334113635,13507.855995183
169,134454.79877827,14733.4987173158
170,137759.43853879,14694.1627179646
171,119146.867094394,12881.9610908727
172,122545.783516701,13359.9965565083
173,122421.535948534,13203.1287172799
174,123525.60524129,13665.7501869202
175,123388.412942525,13535.117894628
176,123093.086410137,13415.0256678929
177,126416.162592348,13694.945899805
178,125300.164799766,13534.8039215972
179,121323.351983614,12722.9406598068
180,124214.011802891,13558.9670672175
181,137689.235127481,15215.1808663277
182,122042.023994893,13041.2000217861
183,140104.132675354,15496.3736464366
184,137537.174416265,15450.412140393
185,138002.872911957,15064.1756923762
186,135609.255448054,14997.3192345916
187,125422.624105956,13885.500844406
188,125945.371571736,14086.7168928524
189,124158.121505753,13322.034160338
190,120294.60061649,13320.8949109648
191,124499.239178918,13650.2804818138
192,122283.261627893,13536.6520878199
193,122712.997219974,13312.933277176
194,131595.691166627,14340.6235902535
195,120244.146167084,12873.5040667053
196,134375.654833629,14603.3153041996
197,118433.038032766,13159.2333255823
198,121207.088838652,13101.893588901
199,122662.986855579,13705.8427817059
200,120688.118800114,13251.9246497175
201,122609.442730402,13758.3168387047
202,121631.153813181,13452.4090329537
203,120701.778979919,13138.1915419231
204,121889.852074162,13225.7632135049
205,120984.827033153,13047.8134262336
206,120649.315227354,13361.3236787895
207,117376.702707229,12879.739263595
208,120733.119177347,13500.3878849157
209,120690.660266671,13058.1563654126
210,119592.806073288,13049.469970618
211,121826.587049489,13493.0043485076
212,124839.309690785,13873.1969375433
213,124803.255203653,13622.5494435709
214,124467.739433716,13416.0131213192
215,124144.587161734,13857.6095431141
216,125155.229385372,13735.0974279875
217,126770.341328815,14084.2158162275
218,127908.384678665,13990.5817784072
219,128291.586527685,13792.5237812464
220,123972.367538498,13439.7211684884
221,127056.4054773,13980.2968372159
222,126674.327233272,14010.8831022107
223,127035.623248508,13902.1602138496
224,130198.827745276,13994.1724199654
225,123674.595088402,13275.0772279206
226,127209.800678569,13747.864422572
227,127016.042017415,13692.3123330989
228,127429.907308989,13837.3294080442
229,126401.469830839,13507.3674395401
230,126614.551675284,13849.2578318864
231,121411.011793629,12914.9142849155
232,126644.535771158,13485.3685213277
233,128111.30083841,14043.5656477631
234,126139.169519681,13949.9644216701
235,128565.505394429,13979.9960863939
236,128628.868966716,14035.4827717262
237,129226.203837536,14244.1628816186
238,128979.616416295,13923.5654216193
239,128207.674449824,14029.2461620418
240,128291.253900562,13586.4510326587
241,126915.483009534,13740.9868407654
242,126998.479970253,14014.8071864291
243,125357.55723835,13470.983672159
244,129079.884479605,14029.5980514853
245,133688.027736239,14456.3737489468
246,129467.002114486,13969.9084547844
247,126800.872322926,13916.8261846664
248,128633.264779841,13799.454039146
249,130885.235519427,14502.8399791125
250,127108.896408666,13675.2514452881
251,128579.623668758,13756.6466738475
252,125030.646978175,13835.3837864233
253,125569.990298575,13432.9481222009
254,130502.819087508,14350.3741503162
255,128849.598442559,13723.2753014062
256,133598.614035362,14212.8049419544
257,130461.99415089,14031.3818664678
258,128019.887711404,14061.2529540159
259,129554.416334724,13783.5299628944
260,126717.168313196,13603.5292585385
261,130768.304807377,13908.1226934543
262,125811.766962386,13839.2099093529
263,130306.113340326,14146.0281084306
264,123088.098263617,13678.7963093365
265,125965.42096569,13961.3580046567
266,124796.932361783,13694.3446493218
267,121115.780650162,13351.4056516892
268,132150.777746693,14372.5482311265
269,131008.704257819,14311.7696700153
270,128097.778973239,14363.0640217728
271,128771.263087122,13952.2376387685
