tree,PD,ePDloss
102,26816.8350889788,3853.22770746862
103,39932.971025794,5994.30934577588
104,38927.5397490214,6437.47320219664
105,37551.4567047862,5314.35252166323
106,38202.0885212442,6096.49633232569
107,38158.8708275887,5970.48681195156
108,38467.2259049482,5879.04192755722
109,37435.0774423835,5558.30690121671
110,37643.117290761,5804.80396440046
111,37033.8896669574,5474.70601824417
112,37367.9467382858,5563.70337775004
113,37520.7212929325,5526.42372296277
114,36894.2941763056,5645.21908881504
115,37189.9883638506,5518.1145546534
116,36632.5155617302,5503.62268566602
117,36977.3433958652,5791.74234455798
118,37400.0359809416,5569.30148081126
119,37989.1248694839,5652.16904866245
120,38474.8970321865,5878.37238359784
121,37639.227226972,5623.69426449873
122,37058.0224750053,5585.11511719522
123,47274.0328830797,6892.21047025513
124,45926.668132969,6864.24449623143
125,37873.7587790642,6005.9409476386
126,37079.2460088703,5782.24839867204
127,37690.2662641715,5957.51038210396
128,38020.3860979047,6348.3878805598
129,37865.0041800257,5747.06054823902
130,37430.1336776882,5614.81732006164
131,28140.5030960202,3957.71999409534
132,27585.5871108658,3982.71514307673
133,27602.6817117335,3945.97521525404
134,27699.9571648108,3899.37602365107
135,38397.0432306573,5953.09015691425
136,38521.3013697782,5929.94162410827
137,38493.60600414,5950.21286631446
138,37877.4241832438,5777.27276872038
139,37291.4226681697,5438.53791680757
140,37211.6555836118,5481.62016768826
141,38348.1078327298,5794.39594361588
142,38011.9992526231,5951.64174671938
143,36751.5966445599,5340.82071926998
144,37846.0148099473,5671.14710161134
145,38990.8915002841,6086.87468269622
146,39428.1391772728,6149.82846956849
147,39000.4913400091,6284.04244177652
148,38536.1150066902,6039.65217075358
149,37102.8575117412,5509.20355153323
150,37185.3312212619,5353.05939348727
151,37901.2779221326,5705.6114835764
152,36979.7676474158,5973.25520445824
153,28222.4041626716,4148.45863901456
154,27415.8583810648,3610.21918132138
155,27408.9165526429,3815.65331564482
156,28071.4294955681,3772.06648388413
157,27651.1229439874,3988.44723159043
158,28236.4053695335,4278.93004017272
159,28044.5332589264,3978.13359310543
