EDGErank,species,order,family,genus,RLcat,EDGEmed,EDGEiqr,EDmed,EDiqr,pextmed,pextiqr,TBLmn,isEDGEsp,isEDGEsp_frac,n_trees,match,mdd_sciName,extinct,EDGE_list_rank
633,Macaca_siberu,Primates,Cercopithecidae,Macaca,EN,0.920302203578062,0.53939033152755,1.89377697512714,0.560839620693852,0.487554133397616,0.28674615239769,1.73783313682301,1,0.652,1000,direct,Macaca_siberu,0.0,412
634,Paulamys_naso,Rodentia,Muridae,Paulamys,EN,0.918951852614869,1.43796877659899,1.92460749951757,2.89330473237779,0.48951979905574,0.287886414785338,2.27117058880673,1,0.531,1000,direct,Paulamys_naso,0.0,413
635,Lepilemur_dorsalis,Primates,Lepilemuridae,Lepilemur,EN,0.918663642880878,0.604548217753247,1.89461370175394,0.84292499144118,0.492083655544921,0.286379871905526,1.3925088899899,1,0.603,1000,direct,Lepilemur_dorsalis,0.0,414
639,Petrogale_concinna,Diprotodontia,Macropodidae,Petrogale,EN,0.91569271035674,0.583592780002457,1.80614028740781,0.822052332983507,0.481056921408359,0.283244951623188,1.77529694023902,1,0.558,1000,direct,Petrogale_concinna,0.0,415
641,Hipposideros_ridleyi,Chiroptera,Hipposideridae,Hipposideros,VU,0.912361257008061,0.561731926162197,4.0432987647972,2.21835119752333,0.245063948457488,0.079736310928743,3.3765923613151,1,0.819,1000,direct,Hipposideros_ridleyi,0.0,416
645,Myotis_atacamensis,Chiroptera,Vespertilionidae,Myotis,EN,0.907947660562922,0.597309734697443,1.92884369470986,0.854571438321468,0.483772291346153,0.280934310642477,1.84324195653489,1,0.625,1000,direct,Myotis_atacamensis,0.0,417
646,Lepilemur_otto,Primates,Lepilemuridae,Lepilemur,EN,0.907086361908666,0.698587177031244,1.8414206007385,1.12080303853899,0.490890241210987,0.285091059945344,0.552101814821697,1,0.554,1000,direct,Lepilemur_otto,0.0,418
648,Bubalus_quarlesi,Artiodactyla,Bovidae,Bubalus,EN,0.905165196041345,0.614281995782428,1.79641040699217,0.791160029009378,0.494293984180757,0.271960303781438,0.65866948390116,1,0.542,1000,direct,Bubalus_quarlesi,0.0,419
649,Canis_simensis,Carnivora,Canidae,Canis,EN,0.903574780714336,0.519225898528185,1.87861518134669,0.60558552039813,0.480497294600884,0.28099958526274,1.8945997948305,1,0.611,1000,direct,Canis_simensis,0.0,420
651,Rhinolophus_maclaudi,Chiroptera,Rhinolophidae,Rhinolophus,EN,0.903113225705119,0.742674753120071,1.86627263657159,1.3185417934389,0.501569596728198,0.290616353727978,0.932431423010025,1,0.546,1000,direct,Rhinolophus_maclaudi,0.0,421
654,Ateles_geoffroyi,Primates,Atelidae,Ateles,EN,0.900631872396311,0.523566951753547,1.83200991450175,0.607469554438201,0.490481686609364,0.290443343743802,1.1244713166872,1,0.581,1000,direct,Ateles_geoffroyi,0.0,422
655,Bubalus_depressicornis,Artiodactyla,Bovidae,Bubalus,EN,0.900326237574702,0.602869009042762,1.81956819084156,0.800296039684704,0.492714514809495,0.272146054937503,0.65866948390116,1,0.569,1000,direct,Bubalus_depressicornis,0.0,423
658,Ateles_fusciceps,Primates,Atelidae,Ateles,EN,0.897868825745407,0.52016097399269,1.8272914431629,0.61794532700521,0.490481686609364,0.288542306368798,1.1244713166872,1,0.568,1000,direct,Ateles_fusciceps,0.0,424
659,Rhinolophus_ruwenzorii,Chiroptera,Rhinolophidae,Rhinolophus,EN,0.897018844403567,0.754044096265282,1.91326873543656,1.25431262266234,0.500253798764943,0.291111731462088,0.94469428336916,1,0.551,1000,direct,Rhinolophus_ruwenzorii,0.0,425
660,Neamblysomus_gunningi,Afrosoricida,Chrysochloridae,Neamblysomus,EN,0.895709570402133,0.664578738817301,1.868256213218,1.05909455241429,0.466624755698088,0.282921295621375,1.20987607380253,1,0.563,1000,direct,Neamblysomus_gunningi,0.0,426
661,Hoolock_hoolock,Primates,Hylobatidae,Hoolock,EN,0.8943442718109,0.48187949125374,1.82023505371594,0.582937349789425,0.486906684682026,0.287488860370137,0.9104088335423,1,0.569,1000,direct,Hoolock_hoolock,0.0,427
667,Rusa_alfredi,Artiodactyla,Cervidae,Rusa,EN,0.88713828411669,0.717636277133252,1.9723158775513,1.28577608558033,0.487704390287669,0.266870990532336,1.7310029161608,1,0.588,1000,direct,Rusa_alfredi,0.0,428
668,Myosorex_tenuis,Eulipotyphla,Soricidae,Myosorex,EN,0.886909926461558,1.28946152028946,1.83399310858232,2.43945072928108,0.471512264581218,0.286602950693507,2.0200849960637,1,0.519,1000,direct,Myosorex_tenuis,0.0,429
671,Myosorex_blarina,Eulipotyphla,Soricidae,Myosorex,EN,0.885400095365531,1.23500420177363,1.76366721805905,2.27503316488427,0.472501746298596,0.285823638439067,1.77343291937025,1,0.507,1000,direct,Myosorex_blarina,0.0,430
674,Neamblysomus_julianae,Afrosoricida,Chrysochloridae,Neamblysomus,EN,0.882867484669805,0.644210805085862,1.85813695557583,1.08611755517965,0.465734260787695,0.283059640753798,1.20987607380253,1,0.559,1000,direct,Neamblysomus_julianae,0.0,431
676,Budorcas_taxicolor,Artiodactyla,Bovidae,Budorcas,VU,0.882462162833046,0.312280260258974,3.69310468508206,0.982687774817992,0.245378121525951,0.0757754463859244,3.651324159344,1,1.0,1000,direct,Budorcas_taxicolor,0.0,432
681,Niviventer_hinpoon,Rodentia,Muridae,Niviventer,EN,0.876600452345408,0.558351331262378,1.84525751992216,0.573843600474653,0.50167031299976,0.286555189939519,1.71443992510987,1,0.584,1000,direct,Niviventer_hinpoon,0.0,433
685,Presbytis_thomasi,Primates,Cercopithecidae,Presbytis,VU,0.872283742218973,0.655488427530817,3.96253920650175,2.72150545303163,0.243027270573548,0.0788598064715509,2.98554522092572,1,0.781,1000,direct,Presbytis_thomasi,0.0,434
686,Acerodon_humilis,Chiroptera,Pteropodidae,Acerodon,EN,0.870069069858966,1.03143494081216,1.77269429336746,1.87022327765801,0.488139849166357,0.290686660249676,1.58832735872182,1,0.504,1000,direct,Acerodon_humilis,0.0,435
687,Phalanger_alexandrae,Diprotodontia,Phalangeridae,Phalanger,EN,0.867079260178383,1.26671993325666,1.82151029481354,2.44141398820746,0.482904011072377,0.280466792878289,2.0283606967563,1,0.509,1000,direct,Phalanger_alexandrae,0.0,436
690,Lutra_sumatrana,Carnivora,Mustelidae,Lutra,EN,0.864063105645501,0.531425807522309,1.8088180827656,0.607430980645855,0.485961412789215,0.279062797731477,1.6134848301129,1,0.562,1000,direct,Lutra_sumatrana,0.0,437
693,Otomys_burtoni,Rodentia,Muridae,Otomys,EN,0.861887748109065,0.527228757131363,1.78359885795471,0.53633775873033,0.492418670624126,0.286364947274984,1.57600239827229,1,0.536,1000,direct,Otomys_burtoni,0.0,438
695,Microcebus_marohita,Primates,Cheirogaleidae,Microcebus,EN,0.860043347042332,0.596215595019473,1.81617120588131,0.860863927024478,0.491508721079618,0.289883259057672,0.772771953542259,1,0.544,1000,synonym:nominalName,Microcebus_jollyae,0.0,439
697,Balaenoptera_musculus,Artiodactyla,Balaenopteridae,Balaenoptera,EN,0.859186397019082,0.475104469854356,1.75288969343104,0.46469595779974,0.490000404918483,0.272807034242835,1.72248136998187,1,0.513,1000,direct,Balaenoptera_musculus,0.0,440
