clade,species,RLcat,match,matched_IUCN_name,order,family
mammals,Tolypeutes_matacus,NT,direct,Tolypeutes_matacus,Cingulata,Tolypeutidae
mammals,Priodontes_maximus,VU,direct,Priodontes_maximus,Cingulata,Tolypeutidae
mammals,Cabassous_chacoensis,NT,direct,Cabassous_chacoensis,Cingulata,Tolypeutidae
mammals,Cabassous_tatouay,LC,direct,Cabassous_tatouay,Cingulata,Tolypeutidae
mammals,Cabassous_unicinctus,LC,direct,Cabassous_unicinctus,Cingulata,Tolypeutidae
mammals,Cabassous_centralis,LC,direct,Cabassous_centralis,Cingulata,Tolypeutidae
mammals,Tamandua_tetradactyla,LC,direct,Tamandua_tetradactyla,Pilosa,Myrmecophagidae
mammals,Tamandua_mexicana,LC,direct,Tamandua_mexicana,Pilosa,Myrmecophagidae
mammals,Myrmecophaga_tridactyla,VU,direct,Myrmecophaga_tridactyla,Pilosa,Myrmecophagidae
mammals,Cyclopes_didactylus,LC,direct,Cyclopes_didactylus,Pilosa,Cyclopedidae
mammals,Mylodon_darwinii,NM,no_RedList_match,,Pilosa,Mylodontidae
mammals,Choloepus_hoffmanni,LC,direct,Choloepus_hoffmanni,Pilosa,Choloepodidae
mammals,Choloepus_didactylus,LC,direct,Choloepus_didactylus,Pilosa,Choloepodidae
mammals,Nothrotheriops_shastensis,NM,no_RedList_match,,Pilosa,Nothrotheriidae
mammals,Bradypus_torquatus,EN,direct,Bradypus_torquatus,Pilosa,Bradypodidae
mammals,Bradypus_pygmaeus,CR,direct,Bradypus_pygmaeus,Pilosa,Bradypodidae
mammals,Bradypus_tridactylus,LC,direct,Bradypus_tridactylus,Pilosa,Bradypodidae
mammals,Bradypus_variegatus,LC,direct,Bradypus_variegatus,Pilosa,Bradypodidae
mammals,Solenodon_marcanoi,EX,direct,Solenodon_marcanoi,Eulipotyphla,Solenodontidae
mammals,Solenodon_cubanus,EN,MDD_synonym,Atopogale_cubana,Eulipotyphla,Solenodontidae
mammals,Solenodon_paradoxus,LC,direct,Solenodon_paradoxus,Eulipotyphla,Solenodontidae
mammals,Uropsilus_investigator,LC,direct,Uropsilus_investigator,Eulipotyphla,Talpidae
mammals,Uropsilus_soricipes,LC,direct,Uropsilus_soricipes,Eulipotyphla,Talpidae
mammals,Uropsilus_gracilis,LC,direct,Uropsilus_gracilis,Eulipotyphla,Talpidae
mammals,Uropsilus_andersoni,NT,direct,Uropsilus_andersoni,Eulipotyphla,Talpidae
mammals,Uropsilus_aequodonenia,NM,no_RedList_match,,Eulipotyphla,Talpidae
mammals,Neurotrichus_gibbsii,LC,direct,Neurotrichus_gibbsii,Eulipotyphla,Talpidae
mammals,Desmana_moschata,CR,direct,Desmana_moschata,Eulipotyphla,Talpidae
mammals,Galemys_pyrenaicus,EN,direct,Galemys_pyrenaicus,Eulipotyphla,Talpidae
mammals,Scapanulus_oweni,LC,direct,Scapanulus_oweni,Eulipotyphla,Talpidae
mammals,Parascalops_breweri,LC,direct,Parascalops_breweri,Eulipotyphla,Talpidae
mammals,Scapanus_townsendii,LC,direct,Scapanus_townsendii,Eulipotyphla,Talpidae
mammals,Scapanus_orarius,LC,direct,Scapanus_orarius,Eulipotyphla,Talpidae
mammals,Scapanus_latimanus,LC,direct,Scapanus_latimanus,Eulipotyphla,Talpidae
mammals,Scalopus_aquaticus,LC,direct,Scalopus_aquaticus,Eulipotyphla,Talpidae
mammals,Euroscaptor_micrura,LC,direct,Euroscaptor_micrura,Eulipotyphla,Talpidae
mammals,Euroscaptor_grandis,LC,direct,Euroscaptor_grandis,Eulipotyphla,Talpidae
mammals,Euroscaptor_mizura,LC,direct,Euroscaptor_mizura,Eulipotyphla,Talpidae
mammals,Euroscaptor_subanura,LC,direct,Euroscaptor_subanura,Eulipotyphla,Talpidae
mammals,Mogera_uchidai,VU,direct,Mogera_uchidai,Eulipotyphla,Talpidae
mammals,Mogera_robusta,LC,direct,Mogera_robusta,Eulipotyphla,Talpidae
mammals,Mogera_wogura,LC,direct,Mogera_wogura,Eulipotyphla,Talpidae
mammals,Mogera_imaizumii,LC,direct,Mogera_imaizumii,Eulipotyphla,Talpidae
mammals,Mogera_tokudae,NT,direct,Mogera_tokudae,Eulipotyphla,Talpidae
mammals,Mogera_etigo,EN,direct,Mogera_etigo,Eulipotyphla,Talpidae
mammals,Mogera_insularis,LC,direct,Mogera_insularis,Eulipotyphla,Talpidae
mammals,Mogera_kanoana,NM,no_RedList_match,,Eulipotyphla,Talpidae
mammals,Scaptochirus_moschatus,LC,direct,Scaptochirus_moschatus,Eulipotyphla,Talpidae
mammals,Euroscaptor_klossi,LC,direct,Euroscaptor_klossi,Eulipotyphla,Talpidae
mammals,Euroscaptor_longirostris,LC,direct,Euroscaptor_longirostris,Eulipotyphla,Talpidae
mammals,Parascaptor_leucura,LC,direct,Parascaptor_leucura,Eulipotyphla,Talpidae
mammals,Euroscaptor_parvidens,NT,direct,Euroscaptor_parvidens,Eulipotyphla,Talpidae
