EDGErank,EDrank,species,order,family,genus,RLcat,EDGEmed,EDGEiqr,EDmed,EDiqr,pextmed,pextiqr,TBLmn,isEDGEsp,isEDGEsp_frac,n_trees,match,mdd_sciName,extinct
4553,3429,Chaerephon_jobensis,Chiroptera,Molossidae,Mops,LC,0.0695781317296917,0.0861954741293444,1.39605203251829,1.57784600250985,0.050957211203436,0.028066857643536,1.41561676108301,0,0.0,1000,synonym:MSW3,Mops_jobensis,0.0
4554,3456,Hylomyscus_vulcanorum,Rodentia,Muridae,Hylomyscus,LC,0.069471449683789,0.0390289751686251,1.38368910984804,0.448121151164583,0.0514388334317832,0.027799815134167,1.35240932093701,0,0.0,1000,direct,Hylomyscus_vulcanorum,0.0
4555,3480,Mastomys_erythroleucus,Rodentia,Muridae,Mastomys,LC,0.069434370628654,0.0414574479755387,1.37350276426795,0.378154714975005,0.0514388334317832,0.027799815134167,1.32457632918645,0,0.0,1000,direct,Mastomys_erythroleucus,0.0
4556,3481,Eptesicus_pachyotis,Chiroptera,Vespertilionidae,Cnephaeus,LC,0.069424879253356,0.117199050396798,1.37316142387949,2.23855854400515,0.0495379330199617,0.0268942663552652,1.77012467429259,0,0.0,1000,synonym:MSW3,Cnephaeus_pachyotis,0.0
4557,3322,Notomys_alexis,Rodentia,Muridae,Notomys,LC,0.0694105409433184,0.0629483762186039,1.4417765999721,1.08251739031443,0.0515889305593138,0.0275726652883931,0.867766839374057,0,0.0,1000,direct,Notomys_alexis,0.0
4558,3316,Chaetodipus_arenarius,Rodentia,Heteromyidae,Chaetodipus,LC,0.0692522773217292,0.0421933114773242,1.4448434196182,0.497035289332426,0.0494480956651269,0.027024089232364,1.02460839210132,0,0.0,1000,direct,Chaetodipus_arenarius,0.0
4559,3448,Allactaga_severtzovi,Rodentia,Dipodidae,Allactaga,LC,0.0691373151627344,0.0986211522404942,1.38559644162193,1.89384610308031,0.0497461462650538,0.0270843259843614,1.90239169687073,0,0.0,1000,direct,Allactaga_severtzovi,0.0
4560,3556,Pipistrellus_adamsi,Chiroptera,Vespertilionidae,Alionoctula,LC,0.0690615550968306,0.116783674902543,1.34657538754194,2.25050021814459,0.0495413678592917,0.0267976424779104,1.75723615563255,0,0.0,1000,synonym:MSW3,Alionoctula_adamsi,0.0
4561,3455,Hipposideros_wollastoni,Chiroptera,Hipposideridae,Hipposideros,LC,0.0690042573641267,0.102794182029252,1.38428442052655,2.03941047878182,0.0500695546329511,0.0269221165356277,1.70079648437385,0,0.0,1000,direct,Hipposideros_wollastoni,0.0
4562,5582,Ctenomys_pearsoni,Rodentia,Ctenomyidae,Ctenomys,NT,0.0689214911649172,0.0453717664436514,0.573884520476473,0.3286543465675,0.121663375160671,0.0407907735958331,0.56114659603217,0,0.0,1000,direct,Ctenomys_pearsoni,0.0
4563,3282,Bassaricyon_alleni,Carnivora,Procyonidae,Bassaricyon,LC,0.0689065152733311,0.0427853557008563,1.4607595808969,0.583474182611322,0.0484196680960606,0.0263467265430717,1.5027146582731,0,0.0,1000,direct,Bassaricyon_alleni,0.0
4564,3545,Macaca_mulatta,Primates,Cercopithecidae,Macaca,LC,0.0688765907456358,0.0408462809724658,1.3506888005968,0.502837296777216,0.0506921141435022,0.028108250483681,1.34643901039033,0,0.0,1000,direct,Macaca_mulatta,0.0
4565,3703,Crocidura_ramona,Eulipotyphla,Soricidae,Crocidura,LC,0.0688612581495667,0.0968543387363787,1.29434252407139,1.83501625858205,0.0507338756989515,0.0277048018835043,1.55319580351732,0,0.0,1000,direct,Crocidura_ramona,0.0
4566,3239,Gerbillus_andersoni,Rodentia,Muridae,Gerbillus,LC,0.0688005711766889,0.0730462302574484,1.48157781211487,1.29846274413739,0.0503080750438202,0.0272460560295961,1.27709453637227,0,0.0,1000,direct,Gerbillus_andersoni,0.0
