tree,PD,ePDloss
213,92806.1057655414,6178.28801662705
214,82088.3358233592,5589.05021314272
215,81412.5495785678,5460.58171556184
216,86406.5080756475,5887.2651686455
217,88619.2210652892,5977.13675817113
218,85211.3222854922,5768.92672680995
219,88932.5530452294,6050.3827949474
220,86854.4256661855,5843.39118169226
221,83708.429492255,5641.92353534024
222,77234.7456858912,5288.79813033784
223,78741.6133978707,5354.63526361392
224,80619.9738718954,5620.27808016524
225,79734.8000255409,5317.44901442997
226,87888.985893945,6010.03759396999
227,83040.7305365893,5459.14887110305
228,81593.3479730247,5467.50394767201
229,87766.5201441022,5938.54242832346
230,83051.8146584328,5568.08902598518
231,75497.9167863352,5080.94183067277
232,88933.146274943,5926.37543888238
233,87419.73511265,5855.80071436645
234,88089.9415003673,5825.14774135517
235,82151.1702684179,5541.60093368737
236,86679.894262682,5739.11847499342
237,86283.1992426785,5856.21639874906
238,84017.8078381471,5663.97038871066
239,90403.9100230433,6225.60380730232
240,79204.3408214731,5236.65020618136
241,87599.8282312255,5791.18046194971
242,84874.1151089703,5648.40836268903
243,82680.5488454729,5510.74784313777
244,81259.9043931829,5499.61689693752
245,81209.9453385975,5557.55236384947
246,84572.0955322049,5697.99387178337
247,84574.8837152902,5758.76019508394
248,81298.9109042892,5479.28852884148
249,86031.8736409838,5762.42817463838
250,84944.5412261747,5801.32619022126
251,85856.2155006245,5798.25436792071
252,84480.7322461934,5578.65155097821
253,83351.8290627326,5693.28447707933
254,87636.9132275986,5855.43740072191
255,87386.838539558,5912.49190824973
256,83565.6316856107,5623.92988787548
257,94854.4874954889,6307.25475885785
258,84142.0520047293,5621.76304196381
259,82713.5967436853,5623.22062556422
260,83317.6014943243,5664.52739122531
261,83916.5590029696,5622.48265267871
262,82632.1205807962,5466.98384803603
263,83363.215549476,5607.16541399972
264,81081.1815864781,5397.0727140683
265,86688.2142488565,5657.32086999531
266,91053.6078793469,6096.27292074929
267,89971.2753618593,6020.90905872676
268,84702.7235117229,5563.3552766775
269,86939.585126838,5727.55870297757
270,90343.2883142556,6094.78452590338
271,81411.9740381916,5459.61056098075
272,86333.7293020999,5745.36819666543
273,85315.4496872502,5724.39661140572
274,82052.483906423,5531.37631868201
275,93750.564493268,6262.40391906391
276,88060.9680964843,5868.42043207624
277,85680.0311989604,5778.25230366855
278,80634.1360491038,5466.65686086434
279,82790.1492202834,5470.35058639368
280,90436.3386015662,6118.90088464724
281,83095.0269779373,5621.88222413376
282,86957.5489072629,5768.18611057773
283,82309.7227841772,5574.07085925127
284,89600.0567102822,5962.54337083613
285,91212.4575670027,6169.74281804713
286,79869.3983625878,5459.39028657065
287,88110.7273303746,5910.64246085814
288,83961.395327228,5657.17456637738
289,89082.8666107755,6100.8185930389
290,88645.1600019557,5866.88341658283
291,90242.0342084555,5938.99199662583
292,80614.0599880469,5425.68119136781
293,87185.7364868725,5930.66063569973
294,81508.4720657259,5530.65496978422
295,90339.9677176822,6064.6407734857
296,80100.3244687361,5306.97882067055
297,87117.9166853693,5896.17343775206
298,85298.3772763756,5646.26365251927
299,83017.9922269879,5596.49144445533
300,83616.833471413,5685.32836975883
301,96888.9662019242,6447.64853645754
302,88253.3881720885,5853.46997890464
303,85107.9172745991,5742.04704301448
304,90295.6292494022,6159.27981894367
305,82885.3157152217,5573.11132827071
306,78060.4646700058,5362.04488574229
307,81861.9316109834,5533.75353429789
308,84459.7082735121,5634.28806563886
309,87832.1016356506,5873.36371693908
310,81932.8554424126,5416.520242427
311,89683.168292931,6007.24386027256
312,79556.828690783,5517.34329774789
313,83648.856693953,5511.14810009028
314,94373.4739668595,6293.79827629485
315,87010.0118162955,5737.22007495107
316,83853.5425559215,5629.83463164289
317,89471.8997898025,6111.06517346109
318,84035.9048325287,5540.42814235083
319,84507.1119120566,5613.02319547051
320,87136.8696365896,5745.10939798748
321,84529.0557110883,5516.76964686397
322,84275.0130897151,5617.91642747135
323,79999.0673584709,5403.57586503566
324,79652.2386765717,5405.94026407989
325,82532.1310844196,5692.11845983254
326,82523.6482584371,5568.64614711478
327,83488.1739952891,5566.2072000773
328,88300.8137246343,5987.12868819944
329,87250.0566065569,5766.25204798459
330,88380.178268798,5945.57018078458
331,88029.6637392066,5913.008579597
332,94124.9248882827,6361.08808646707
333,88715.2300126911,5908.86802492374
334,89513.3199508118,6014.03628327674
335,89170.2410887374,5876.78392131724
336,83432.7181781843,5641.29841592361
337,78710.1676294341,5458.71011665506
338,85140.367643763,5685.58895570336
339,78736.2129127411,5354.42068819933
340,90238.3178837565,5822.08974611963
341,92559.245703593,6255.71487699533
342,78706.9960303898,5243.75694953704
343,88319.998057372,5902.21996968746
344,90604.743947513,5963.06314452476
345,77788.6723758902,5364.88738830396
346,87519.720023745,6107.86364345085
347,83792.9297454401,5726.63056541912
348,93632.6965759321,6212.3084167897
349,84414.8017593333,5720.7652039269
350,90614.9664241314,6022.7563730566
351,94016.294884195,6256.60413770996
352,87524.2392853862,5671.26621717972
353,82817.2395642097,5415.64131244104
354,83238.4116482865,5412.2295815904
355,83283.6983080221,5712.82108855275
356,82422.4472088408,5469.5869699412
357,84189.3327991382,5708.45011147799
358,81982.5230299785,5538.39036610852
359,90080.8072579603,6004.70358537056
360,84764.0595698792,5738.92250611805
361,82390.2395679225,5566.23078160513
362,87101.8250722839,5599.09121694525
363,83614.1920102321,5557.33695401865
364,85952.1808325648,5752.25634176125
365,86916.1625173627,5744.88628451571
366,87505.8899756551,5823.10327381992
367,83299.8142068537,5564.43325348243
368,81191.2777267421,5539.07284349555
369,85141.7547053387,5827.84885516636
370,83825.0451488415,5613.06189196927
371,91012.7558812778,6087.05818883417
372,78796.8099300725,5215.18798046905
373,80674.1283756894,5343.93531028186
374,91752.0728972006,6188.14338495858
375,89479.506068354,6107.61393420254
376,85679.432808234,5742.89630023113
377,82251.6326750024,5662.96492325203
