tree,PD,ePDloss
521,32917.8387431394,3367.22800701747
522,34111.8639080265,3526.52097205628
523,34291.3221409364,3484.87949405635
524,33983.8391040915,3385.82208440114
525,33597.4996207809,3386.50188141882
526,33640.1123026401,3470.32414605453
527,34510.3002639964,3644.83369143158
528,34354.7931335747,3691.90006269728
529,34402.4155543567,3579.78559625445
530,34213.6264559778,3622.23299771469
531,34254.0647071145,3569.33695531372
532,33669.5481838511,3588.97467821179
533,35439.6769262126,3562.38651619229
534,32923.1685330775,3384.67588795171
535,32712.504728629,3287.94511155412
536,32505.8630036211,3389.95531728096
537,32865.5070513484,3210.13694680639
538,31830.0635760322,3118.66730195052
539,32325.3797918002,3250.17483051944
540,31975.4432803266,3316.70101233234
541,31636.469839633,3145.72813392039
542,32086.2199681304,3175.66518272191
543,32190.9515017078,3267.62357820611
544,31743.3768046839,3256.61233259052
545,33191.0185056103,3434.18818417016
546,31397.627007908,3130.64735293844
547,32015.6461652057,3351.47310074454
548,33375.8787008072,3463.47254825961
549,32083.1159631099,3215.49933498965
550,32223.8930671104,3287.92390480652
551,32005.1328968258,3117.16555804339
552,31860.4208535873,3084.9268227914
553,32275.1995725425,3267.0102684226
554,32610.7860255656,3396.2821014124
555,32074.1650586793,3301.52710193373
556,32516.1304687271,3391.08307954916
557,33008.6754123181,3422.09009621782
558,33211.7240747326,3430.02752354222
559,32818.7435539131,3298.22372453768
560,32811.3465544807,3300.48835350969
561,32301.2905940466,3230.01187621399
562,32099.8017991584,3230.45813454914
563,33617.1303895841,3356.54641512593
564,33257.4594861801,3423.79706214266
565,30049.4938682109,2960.27183341842
566,30841.799831115,3192.95287590559
567,30702.6848591363,3104.07904342623
568,30568.6942018572,3221.45627604611
569,30760.3546054346,3223.91028309245
570,30321.1025309835,3177.12236084114
571,30405.6174787588,3152.47825521409
572,32627.1951259907,3339.03622275188
573,32915.5408385405,3309.50536805049
574,32732.9773037428,3274.86729266394
575,32824.0848588875,3295.78531982185
576,33219.6965911637,3454.3833600123
577,33109.2994371222,3315.57434838608
578,31656.7850650343,3141.81483796852
579,33058.8843160184,3247.48087278287
580,32326.624389234,3290.59147896711
581,32695.8380172116,3252.86602893332
582,32346.6716274892,3265.31355229791
583,32749.2926249044,3244.50696887479
584,31724.8644634651,3123.71345419403
585,32418.0374810015,3296.74377536637
586,32207.8225719656,3326.58224233066
587,33725.3685731749,3546.49529392675
588,33411.3881374521,3341.70156951148
589,32431.0250489228,3293.71629714147
590,32352.9719794029,3331.31538893167
591,32274.4865425039,3427.72724855196
592,32845.1631827233,3431.86323354376
593,33184.5107415719,3353.29231262938
594,33142.900252171,3443.72980063586
595,32075.1556304642,3364.59841823545
596,34018.177612064,3561.14962251111
597,34129.2702250035,3510.73780076535
598,32396.1813529503,3229.33357251617
599,34092.6675264708,3476.93358653642
600,31793.6976445054,3186.8918223667
601,31381.926412847,3171.87565868166
602,31597.6257510496,3160.35256705131
603,34671.9292065885,3515.37711048185
604,34224.2536127633,3460.85705892748
605,34386.0780411178,3499.29671592779
606,34685.2126356167,3572.05961150451
607,31294.7917674007,3099.62779226178
608,31776.4449329165,3203.23060293374
609,31635.1683980575,3292.70312751411
610,31605.165956734,3176.04382353258
611,31262.4159204469,3202.36411553252
612,31016.1360843311,3172.03990373513
613,31028.6692521597,3155.16511168056
614,31420.3319704215,3230.56482495612
615,31412.7897769278,3131.93392926095
616,31206.162248118,3160.69145489457
617,31436.639944942,3097.1846770023
618,32386.7537649891,3311.95705346754
619,33095.9233894006,3352.2038077786
620,32557.7126657591,3326.71762539685
621,32818.4204307991,3330.21320701223
622,32968.0846179281,3320.89068161089
623,32176.6777261867,3339.55676576325
624,32346.2873725245,3178.57852103257
625,37851.9972500819,3758.62513775741
626,32456.8633854172,3161.99290048523
627,37538.8100819882,3759.93945884833
628,32673.6048030119,3308.05141439784
629,38152.575523282,3828.54409985
630,32175.9599984705,3269.68655494509
631,32556.052672282,3324.90433106492
632,34156.7994055476,3277.57819500708
633,34929.3464213905,3604.32983577288
634,35275.7233016007,3598.80778686484
635,35894.7684318558,3794.59647613714
636,35339.1627854653,3605.15432033412
637,32955.6465255248,3258.52062098681
638,33088.234370416,3324.70732209513
639,33292.4578381834,3432.17735302318
640,33414.1824229837,3561.26334333495
641,33143.5896333795,3366.78599520631
642,33084.2170259847,3396.74452875865
643,33291.140769634,3437.65963859548
644,33232.4769414465,3300.66455910121
645,33352.3308120133,3369.4904150062
646,34058.3432100361,3423.45837316421
647,32841.6395787502,3341.76588815141
648,33294.3841645737,3406.23736445937
649,34190.838574501,3535.97403372197
650,33944.3672082413,3448.88673786134
651,35248.0899657055,3616.95342415344
652,34652.658512775,3643.71251930579
653,34376.2081577901,3522.04341568398
654,35031.9613960569,3534.36624342638
655,32152.8038647988,3359.8289356699
656,32140.6067394628,3216.23049203327
657,33961.8621123138,3435.88871472089
658,34071.1367012511,3382.31196956807
659,34289.9821179152,3443.16948730461
